epoch,move legality,average reward,game len,off pol %
1,0.3960271000384104,-0.15099322499039736,6.0,0.1886964771897817
3,0.37531195078575913,-0.15617201230356023,5.5,0.1657801727008447
5,0.3854613102218559,-0.15363467244453602,6.25,0.2209365604295945
7,0.3295810714147839,-0.16760473214630406,7.0,0.21219926200928488
9,0.3431333778204462,-0.16421665554488846,9.65625,0.21088257068979727
11,0.3670542388231577,-0.15823644029421055,9.0625,0.20991060437679906
13,0.42545789639000847,-0.14363552590249787,5.5625,0.19065652678260434
15,0.4664335337074438,-0.13339161657313905,6.65625,0.17029851186366568
17,0.5264295121784345,-0.11839262195539137,4.28125,0.21518455801860978
19,0.6147505619380619,-0.0963123595154845,4.40625,0.17672520188145188
21,0.8823457792207793,-0.02941355519480519,1.59375,0.18493641774891773
23,0.9166958041958042,-0.02082604895104895,1.5625,0.20091418997668997
25,0.9179573031135531,-0.02051067422161172,1.46875,0.13224874084249083
