epoch,move legality,average reward,game len,off pol %,loss
0.0,0.321991341991342,-0.1695021645021645,14.25,0.4786038961038961,-84.59028625488281
0.0,0.3541666666666667,-0.16145833333333334,5.0,0.46875,5.920815944671631
0.0,0.2842108871520636,-0.17894727821198408,10.5,0.37774235568353215,-23.661333084106445
0.0,0.5333333333333333,-0.11666666666666667,2.75,0.4452380952380952,12.113082885742188
0.0,0.6628205128205128,-0.0842948717948718,3.0,0.6070512820512821,-5.508535385131836
0.0,0.875,-0.03125,1.25,0.125,15.100541114807129
0.0,0.7095238095238094,-0.07261904761904761,3.5,0.5285714285714286,-17.2774715423584
0.0,0.7916666666666666,-0.05208333333333333,2.0,0.30833333333333335,-0.6156511306762695
0.0,0.6166666666666666,-0.09583333333333334,2.5,0.4666666666666667,10.664894104003906
0.0,0.7083333333333333,-0.07291666666666666,1.75,0.375,0.8207235336303711
