epoch,move legality,average reward,game len,off pol %
99,0.7042639355102429,-0.07393401612243951,3.335,0.32891002865082625
199,0.7285048040218634,-0.06787379899453434,2.97,0.3401629401004375
299,0.7453692206120387,-0.06365769484699049,2.685,0.31770978356571544
399,0.7292685951642197,-0.06768285120894527,2.8175,0.3380404222391493
499,0.7727097959305219,-0.05682255101736968,2.685,0.28862001528103104
599,0.762517711722063,-0.059370572069484304,2.735,0.31073001359446223
699,0.7656837975088798,-0.05857905062278017,2.5025,0.33816714949882365
799,0.7538305296616222,-0.061542367584594505,2.53,0.34057808861747885
899,0.7438719984748918,-0.06403200038127721,2.7775,0.3282836341766137
999,0.7475015660877109,-0.06312460847807227,2.7975,0.3223947536506116
1099,0.7615825890951449,-0.0596043527262139,2.67,0.3109422394237378
1199,0.7755007090987973,-0.05612482272530077,2.6725,0.3160299844548604
1299,0.7591358010695078,-0.06021604973262309,2.7625,0.3187626023863389
1399,0.7623177551082191,-0.05942056122294544,2.6425,0.32378524100843864
1499,0.777620746621777,-0.05559481334455569,2.565,0.29975336769677097
1599,0.7663272078453189,-0.058418198038670405,2.7075,0.29741516099327586
1699,0.7550686704894073,-0.06123283237764821,2.64,0.3254360670419374
1799,0.7653359243224271,-0.05866601891939345,2.6175,0.3155807921106852
1899,0.7685586863791563,-0.05786032840521101,2.5175,0.31968541343793944
1999,0.7569752529838836,-0.06075618675402918,2.94,0.3168782637463924
2099,0.750812078871263,-0.06229698028218439,2.725,0.3289612392169927
2199,0.7544977087284406,-0.06137557281789006,2.6375,0.3077375195297889
2299,0.7711560622153444,-0.057210984446163966,2.41,0.3114797366433163
2399,0.7773362495716153,-0.05566593760709622,2.355,0.31453532458396005
2499,0.7671680329550666,-0.05820799176123352,2.6975,0.30325313461651565
2599,0.7488945790350898,-0.06277635524122763,2.655,0.33669481344411456
2699,0.7640205520417546,-0.05899486198956159,2.5575,0.2969457119664632
2799,0.7696351332578935,-0.057591216685526886,2.555,0.30554227294086866
2899,0.7518460756991036,-0.06203848107522411,2.835,0.32398017525013023
2999,0.7736570907111056,-0.05658572732222379,2.585,0.32493245853225367
3099,0.7731210084236771,-0.056719747894080984,2.67,0.31412971416401836
3199,0.7417364571929826,-0.06456588570175455,2.665,0.31964260896652963
3299,0.7407379933841196,-0.06481550165397025,2.8925,0.31139399883335767
3399,0.7593958088225901,-0.060151047794352513,2.4075,0.30392125568806616
3499,0.772359453881773,-0.05691013652955687,2.36,0.31771643302910857
3599,0.7642297590474892,-0.058942560238127745,2.4675,0.3228935555939241
3699,0.7608847236645114,-0.05977881908387218,2.5825,0.3334557534098546
3799,0.7443880348320134,-0.06390299129199678,2.9725,0.34467170570323297
3899,0.7571032086207604,-0.06072419784480987,2.6775,0.32454260405116403
3999,0.7547271080949125,-0.06131822297627203,2.59,0.31923449897584516
4099,0.7698853950638365,-0.05752865123404104,2.65,0.3028663586984565
4199,0.7623928423885077,-0.05940178940287324,2.695,0.30921313102588177
4299,0.7595836909894083,-0.060104077252648026,2.6475,0.32791792013986204
4399,0.7757297272075221,-0.05606756819811964,2.4775,0.3097898138006554
4499,0.7679697795882232,-0.058007555102944225,2.4625,0.29188169139912895
4599,0.768389669037687,-0.05790258274057838,2.4825,0.31976166212078583
4699,0.7707269733944561,-0.05731825665138607,2.6175,0.3219334935616754
4799,0.7779200736596265,-0.05551998158509356,2.4275,0.29712078789768076
4899,0.7577071598370169,-0.06057321004074577,2.7475,0.3182315630988112
4999,0.7614090739828709,-0.059647731504282486,2.55,0.3060506119991707
5099,0.7606166570097365,-0.05984583574756605,2.6375,0.3036000855328944
5199,0.7810227966119997,-0.05474430084700014,2.4475,0.3024167435555787
5299,0.7780360337625717,-0.0554909915593572,2.39,0.3115077469341384
5399,0.7729395852104238,-0.0567651036973942,2.625,0.3174448005783089
5499,0.7645796072917416,-0.058855098177064684,2.87,0.29563900805781346
