epoch,move legality,average reward,game len,off pol %,loss
0.0,0.3464328047609607,-0.16339179880975976,9.101282242063494,0.18722555053016968,595.1332511901855
1.0,0.42825259867420035,-0.1429368503314499,6.385709325396825,0.2192627454283888,319.48511505126953
2.0,0.6304423323193468,-0.0923894169201633,3.440054563492063,0.1903192488504642,378.34473609924316
3.0,0.8508406929923857,-0.03728982675190357,1.7344568452380955,0.19742046669297414,842.3466186523438
4.0,0.8998454631010654,-0.025038634224733663,1.5080729166666667,0.1952351532469048,564.4969177246094
5.0,0.9030721183715975,-0.02423197040710062,1.4847147817460316,0.21895940621052218,461.99479484558105
6.0,0.853371946074742,-0.03665701348131452,1.941014384920635,0.19584699400734198,533.1580085754395
7.0,0.8762144829837009,-0.030946379254074757,1.629466765873016,0.1655613360256511,539.3024253845215
8.0,0.8864411367608911,-0.028389715809777193,1.6580406746031748,0.19705241518429759,510.8801021575928
9.0,0.8785901268801194,-0.030352468279970145,1.6553149801587304,0.1568183019409768,458.8203582763672
10.0,0.8432649504908178,-0.039183762377295525,1.6095461309523809,0.1504148258923674,458.3131446838379
11.0,0.8993174171767135,-0.02517064570582158,1.5689781746031746,0.17441692823717653,366.4970645904541
12.0,0.921266714229884,-0.019683321442529034,1.3669816468253968,0.20968617026987563,335.4392147064209
13.0,0.8694357578426588,-0.03264106053933528,1.7598164682539683,0.17983770741081007,404.4156837463379
14.0,0.9189344219169149,-0.020266394520771273,1.4863095238095236,0.1891402633391319,365.8200988769531
15.0,0.8932501618221267,-0.026687459544468363,1.5292460317460317,0.1532697038694719,425.1023998260498
16.0,0.9058689969043172,-0.023532750773920683,1.5980580357142857,0.164727636714408,406.17403411865234
17.0,0.8988519474941865,-0.025287013126453393,1.6227380952380954,0.1578090715185647,370.0879764556885
