epoch,move legality,average reward,game len,off pol %
9,0.3837398913013688,-0.1540650271746578,7.25625,0.3709231708245877
19,0.610908986875933,-0.09727275328101674,3.6875,0.34713799927582567
29,0.5445234234323222,-0.1138691441419194,4.475,0.37520736550273914
39,0.649893281607783,-0.08752667959805424,2.9375,0.33145769496812433
49,0.7904467524917891,-0.05238831187705269,2.39375,0.3190484668517756
59,0.7838468080078131,-0.0540382979980466,2.40625,0.27564975558861443
69,0.7875280969030967,-0.05311797577422576,2.25,0.3099403027528027
79,0.7628249969635841,-0.05929375075910402,2.55,0.3270315724181213
