epoch,move legality,average reward,game len,off pol %
9,0.38520903272032836,-0.15369774181991788,6.575,0.1883036089270586
19,0.39220333599138973,-0.15194916600215252,7.18125,0.1975756692130251
29,0.43588508293600103,-0.14102872926599966,5.95,0.1971459117470591
39,0.4714110385655078,-0.132147240358623,4.975,0.19217475046854915
49,0.42797000128194285,-0.14300749967951426,5.4125,0.19701039722766756
59,0.43786163914425236,-0.14053459021393688,6.075,0.16740256591960728
69,0.39054226271714787,-0.15236443432071303,4.91875,0.16836219523502302
79,0.3954791483645124,-0.1511302129088719,5.2,0.18371516900979407
89,0.4369148542930136,-0.1407712864267466,4.6125,0.16728851844915552
99,0.452969983759565,-0.13675750406010873,5.1875,0.16976571137392815
109,0.44612909107379506,-0.13846772723155118,4.91875,0.16228936510672087
119,0.4400379271764986,-0.13999051820587533,5.06875,0.18864485266935263
129,0.49395211210393225,-0.12651197197401692,4.925,0.17385852287801712
139,0.45212225147777396,-0.13696943713055654,5.29375,0.14186980892470194
149,0.4774127144068743,-0.1306468213982814,4.7625,0.1639855026833466
159,0.4357823838679922,-0.14105440403300198,5.05,0.1583850109261796
169,0.4755712059502627,-0.13110719851243438,4.60625,0.15872133852038603
179,0.4863250021919798,-0.12841874945200507,4.85,0.15164276710862984
189,0.47949676387402806,-0.130125809031493,4.26875,0.15563793353439456
199,0.4793610854317313,-0.13015972864206715,4.725,0.15183680173405453
209,0.47111071930992593,-0.13222232017251853,4.475,0.16843529990197767
219,0.44857051932145736,-0.1378573701696357,4.95,0.1681909793653122
229,0.44491076492811554,-0.13877230876797114,4.60625,0.15233883851339183
239,0.4716318596213349,-0.13209203509466627,4.6375,0.1573741600233412
249,0.4645148775060982,-0.13387128062347536,5.3,0.14561039015921848
259,0.486437912164737,-0.12839052195881573,4.89375,0.14862082952215727
269,0.47464228645629936,-0.13133942838592516,4.6,0.14782527291466585
279,0.46367929596740415,-0.13408017600814898,4.5,0.15532588724508778
289,0.4360060630602337,-0.14099848423494152,5.175,0.14927977745981436
299,0.4964336491359306,-0.12589158771601733,4.15625,0.13816759833905815
309,0.45606562316352506,-0.13598359420911868,4.7875,0.1537279278796693
319,0.47349634364626086,-0.1316259140884348,3.925,0.1451175287771252
329,0.4853939460674293,-0.1286515134831427,5.65625,0.1311247352742746
339,0.461056779017769,-0.13473580524555775,5.41875,0.1558957356797513
349,0.5187717979289304,-0.12030705051776742,4.1375,0.1305772686309974
359,0.4774605393062701,-0.13063486517343245,4.44375,0.1320949520649515
369,0.4749761657580519,-0.131255958560487,4.50625,0.13714479746149846
379,0.476660107917436,-0.130834973020641,4.69375,0.12008570236293978
389,0.5134723041373791,-0.12163192396565521,4.2,0.12710024996213826
399,0.47605357232504825,-0.13098660691873795,4.6,0.12189920972425179
409,0.4686936196112904,-0.13282659509717737,4.55625,0.12208831843582871
419,0.5129304960063956,-0.12176737599840107,4.05,0.11561379071068276
429,0.4874987792714629,-0.12812530518213427,4.56875,0.1178003026465948
439,0.5020559620326257,-0.12448600949184356,4.09375,0.11373430091322974
449,0.5093175094506364,-0.12267062263734092,4.1375,0.1141679349416868
459,0.5120391985075862,-0.12199020037310346,4.5875,0.10261761142527667
469,0.48638412087096194,-0.12840396978225949,4.4875,0.1337219249825803
479,0.49130353719832626,-0.12717411570041842,4.5375,0.11004407641618671
489,0.5113229661962855,-0.12216925845092863,4.5125,0.12143054640126501
499,0.4901773140532487,-0.12745567148668785,4.4125,0.1196264866555992
509,0.5120834463711297,-0.12197913840721752,4.26875,0.09519824909990346
519,0.5241822016737074,-0.11895444958157317,4.24375,0.10647257478375656
529,0.48421074726357205,-0.12894731318410696,4.50625,0.1263506738413375
539,0.53633018534218,-0.11591745366445497,4.5375,0.09994261205071847
549,0.49046406989556335,-0.12738398252610914,4.83125,0.11234285028488196
559,0.5297401720326822,-0.11756495699182945,4.275,0.10079234492573838
569,0.5346773334212179,-0.11633066664469546,4.36875,0.08978119945552815
579,0.5344103945885712,-0.11639740135285717,4.15,0.09199682122408684
589,0.5447250981249141,-0.11381872546877145,3.98125,0.09437757852509687
599,0.5505897966405623,-0.1123525508398594,4.06875,0.09144866688248296
609,0.5264353906129913,-0.11839115234675221,4.31875,0.1029106003242752
619,0.49479388188518414,-0.12630152952870397,4.2,0.08822604707202267
629,0.5255329002648021,-0.11861677493379941,4.475,0.09931971651426125
639,0.5226755116439876,-0.11933112208900307,4.11875,0.09166177052589788
649,0.5101770363224977,-0.12245574091937557,4.375,0.10506694248825196
659,0.5534868451069588,-0.11162828872326028,3.95,0.09654140955650778
669,0.5287270077997972,-0.11781824805005066,4.01875,0.11505112073432625
679,0.5543216945512561,-0.111419576362186,4.0,0.10145701750788336
689,0.5279178056867051,-0.11802054857832371,4.0125,0.10593206439297347
699,0.550297011679967,-0.11242574708000821,4.325,0.08733588090731605
709,0.5242065320715822,-0.11894836698210447,4.14375,0.07016451704431567
719,0.517791462040534,-0.1205521344898665,4.63125,0.1022757955159447
729,0.5245586817383054,-0.11886032956542363,4.6625,0.11327771597332408
739,0.5054688386141456,-0.1236327903464636,4.425,0.07903326299131794
749,0.512107259164796,-0.12197318520880099,3.8375,0.09438147210791496
759,0.5346949885234606,-0.1163262528691349,4.15625,0.0781587020052327
769,0.5372125971278363,-0.11569685071804092,3.83125,0.08417858444188321
779,0.555141085434961,-0.11121472864125978,3.65,0.07976419516299546
789,0.5175192472288059,-0.12062018819279852,4.05,0.07841559825659088
799,0.5143030439768013,-0.12142423900579968,4.29375,0.08386992509297618
809,0.5290094363804695,-0.11774764090488261,3.96875,0.07007443523610318
819,0.5571648730224494,-0.11070878174438765,3.775,0.08451932882139879
829,0.5341044281725227,-0.11647389295686936,3.88125,0.06555523524872948
839,0.5085203742154322,-0.12286990644614193,4.45625,0.08264027476059779
849,0.5057475566752558,-0.12356311083118601,4.075,0.08619103647795287
859,0.5176097531010101,-0.12059756172474745,4.1375,0.07976271488133688
869,0.4879602533904002,-0.12800993665239996,4.14375,0.0792003692113986
879,0.5160465233942644,-0.12098836915143388,4.51875,0.0748575720623568
889,0.5222473268429861,-0.1194381682892535,4.15625,0.0771550672013588
899,0.546057312680547,-0.11348567182986331,4.175,0.0681351851139486
909,0.5393160481669804,-0.11517098795825483,4.16875,0.08206873977602339
919,0.5677092441973487,-0.10807268895066291,3.975,0.08688918844936018
929,0.5584335744597747,-0.11039160638505623,4.1375,0.05093550728732871
939,0.5351703057846051,-0.11620742355384872,4.1625,0.07471354398484657
949,0.5375982897164727,-0.11560042757088185,4.5375,0.07313489456449777
959,0.5425487689689452,-0.11436280775776372,4.10625,0.06676671141391324
969,0.5649639492183509,-0.10875901269541224,3.76875,0.0768404844424581
979,0.5551551321032615,-0.11121121697418457,3.7375,0.0586022139358936
989,0.5114452075087802,-0.12213869812280495,4.34375,0.07725049060642308
999,0.5364920030358783,-0.11587699924103038,3.56875,0.06477222620967782
1009,0.5128923838598927,-0.12177690403502686,4.01875,0.07492996890066556
1019,0.5298153006720913,-0.1175461748319772,4.1625,0.05383886076897865
1029,0.5275531672891155,-0.11811170817772117,4.1875,0.06463538587199871
1039,0.5310821039444193,-0.11722947401389519,4.0875,0.07419923840010348
1049,0.5399485062100104,-0.11501287344749736,4.05625,0.06696327116576307
1059,0.5667123829331872,-0.10832190426670325,3.575,0.05786175740804522
1069,0.5464988317419015,-0.11337529206452464,3.875,0.04962593833719028
1079,0.5424005160749715,-0.11439987098125715,3.63125,0.06114149879055264
1089,0.523893526204888,-0.11902661844877793,3.95,0.05124389542626352
1099,0.5547239391472532,-0.11131901521318673,3.825,0.06053532697020174
1109,0.5118050523383493,-0.12204873691541267,4.3875,0.06272544211431738
1119,0.5463011758193644,-0.11342470604515889,3.4625,0.06022032168897493
