epoch,move legality,average reward,game len,off pol %
99,0.6735919327544095,-0.08160201681139764,3.3325,0.33096819603443983
199,0.7395947469696377,-0.06510131325759079,2.74,0.33827889402420425
299,0.7535082783851758,-0.06162293040370626,2.6025,0.32485770616135135
399,0.7600270892853712,-0.05999322767865742,2.8325,0.327420137576853
499,0.7522136155018454,-0.061946596124538775,2.6775,0.3397567653439674
599,0.7656549440289296,-0.058586263992767666,2.585,0.33458530702948347
699,0.765774134331026,-0.05855646641724359,2.4725,0.31397865534834285
