epoch,move legality,average reward,game len,off pol %
0,0.3813161375661375,-0.1546709656084656,7.125,0.43873556998556995
100,0.6794800338122957,-0.08012999154692613,3.885,0.32397102819774837
200,0.7575319056755437,-0.06061702358111416,2.48625,0.3291407670020446
300,0.7345742267025327,-0.06635644332436688,2.76625,0.3399391537849234
400,0.7639976589956099,-0.05900058525109773,2.82375,0.3114941509614298
500,0.7535458580971792,-0.06161353547570524,2.74125,0.3206371199284747
600,0.7438956974928669,-0.06402607562678345,2.67125,0.334233542855935
700,0.7633201372643862,-0.05916996568390321,2.78125,0.3270923987577433
800,0.7642194275944408,-0.05894514310138974,2.7475,0.32699148533883277
900,0.7517867321334448,-0.06205331696663885,2.79625,0.3242045160145469
